label,face_index,sticker_index,sample_index,r,g,b,h_cos,h_sin,s,v
F,1,0,0,0.2621525054466231,0.9643366013071896,0.5338812636165577,-0.8009256988797253,0.5987637471273821,0.7281524883621893,0.9643366013071896
F,1,0,1,0.25656862745098036,0.960156862745098,0.5291176470588236,-0.8011723919328535,0.5984336207171103,0.7327846757065839,0.960156862745098
F,1,0,2,0.2511862745098039,0.9630098039215687,0.5234411764705882,-0.7980944244504526,0.6025323971879859,0.7391654025878832,0.9630098039215687
F,1,0,3,0.25267647058823534,0.9637843137254902,0.524607843137255,-0.798050237020576,0.6025909219291331,0.7378288202144324,0.9637843137254902
F,1,0,4,0.258,0.9626078431372549,0.5317843137254902,-0.8019191551474572,0.5974325640669318,0.7319780824150083,0.9626078431372549
F,1,0,5,0.26049999999999995,0.9649117647058824,0.532656862745098,-0.800539255843405,0.5992803182599004,0.7300271283567532,0.9649117647058824
F,1,0,6,0.2617156862745098,0.9655196078431373,0.5337156862745098,-0.8006087867318419,0.5991874252750704,0.7289379892976453,0.9655196078431373
F,1,0,7,0.27741176470588236,0.9645784313725491,0.5465294117647059,-0.8038363460385092,0.5948505096135146,0.7124010285911757,0.9645784313725491
F,1,0,8,0.2767450980392157,0.9673823529411765,0.5450098039215686,-0.8018365693358186,0.5975434009975886,0.7139237684067578,0.9673823529411765
F,1,0,9,0.2645686274509804,0.9670784313725491,0.5380686274509804,-0.8023917097458709,0.5967977413924235,0.7264248494556071,0.9670784313725491
F,1,1,0,0.26510457516339875,0.9839161220043573,0.5378169934640523,-0.7961457521169213,0.6051049011420926,0.730561813924394,0.9839161220043573
F,1,1,1,0.2645686274509804,0.9788921568627451,0.5331568627450981,-0.7939927053425964,0.6079272850125622,0.7297264815167206,0.9788921568627451
F,1,1,2,0.26407843137254905,0.9827941176470588,0.5352745098039215,-0.7948390677916801,0.6068202833723119,0.7312983191181605,0.9827941176470588
F,1,1,3,0.2677450980392157,0.9820686274509804,0.5378529411764706,-0.7953450400617189,0.6061569658506143,0.7273662037915164,0.9820686274509804
F,1,1,4,0.2636764705882353,0.9844313725490196,0.5373137254901962,-0.7963106019436514,0.6048879443600603,0.7321535274668366,0.9844313725490196
F,1,1,5,0.2607156862745098,0.9865196078431373,0.5379019607843137,-0.7977328250574459,0.6030110611140284,0.7357217391304348,0.9865196078431373
F,1,1,6,0.26485294117647057,0.9851274509803922,0.540078431372549,-0.7978651113758432,0.6028360175447495,0.7311485524914662,0.9851274509803922
F,1,1,7,0.2683039215686275,0.983,0.5379019607843137,-0.7947667725953322,0.606914967008064,0.7270560309576526,0.983
F,1,1,8,0.2635882352941177,0.9858333333333335,0.5399607843137255,-0.7982094265831732,0.602380038940337,0.732623937148824,0.9858333333333335
F,1,1,9,0.2684117647058824,0.9865784313725491,0.5409117647058824,-0.7961742021964185,0.6050674671116407,0.7279367193012093,0.9865784313725491
F,1,2,0,0.26056100217864925,0.9755457516339868,0.5398333333333333,-0.8031913146162133,0.5957211697808624,0.7329074502736305,0.9755457516339868
F,1,2,1,0.250343137254902,0.9776666666666667,0.5279411764705882,-0.7975864406463786,0.603204666508011,0.7439381480515834,0.9776666666666667
F,1,2,2,0.24773529411764705,0.9770490196078432,0.5287549019607843,-0.7998861982004538,0.6001517057614886,0.7464453787415085,0.9770490196078432
F,1,2,3,0.26419607843137255,0.9720882352941176,0.5409019607843137,-0.8033709767088932,0.5954788609025504,0.7282180065151835,0.9720882352941176
F,1,2,4,0.2629705882352941,0.9755098039215686,0.5374019607843137,-0.7997762218504979,0.6002982550054123,0.7304275290948925,0.9755098039215686
F,1,2,5,0.25123529411764706,0.9780196078431372,0.5331666666666667,-0.8015144809616527,0.5979753647172871,0.7431183463982838,0.9780196078431372
F,1,2,6,0.262578431372549,0.9723627450980393,0.5429803921568628,-0.805960735366428,0.5919689966945961,0.7299583589598815,0.9723627450980393
F,1,2,7,0.27137254901960783,0.9743529411764706,0.5501960784313726,-0.8069380003483763,0.5906361516143114,0.7214843435563069,0.9743529411764706
F,1,2,8,0.2648725490196079,0.9763627450980392,0.5440392156862744,-0.8042940981565543,0.5942314394834181,0.7287150187269678,0.9763627450980392
F,1,2,9,0.26974509803921565,0.9764999999999999,0.5531176470588236,-0.8096006239121865,0.5869811153359181,0.7237633404616327,0.9764999999999999
F,1,3,0,0.3701753812636166,0.9797494553376906,0.597553376906318,-0.792083814264751,0.6104123452059299,0.6221734248007027,0.9797494553376906
F,1,3,1,0.37223529411764705,0.9773627450980392,0.6002254901960784,-0.7944764794980166,0.6072949230188226,0.6191431523407328,0.9773627450980392
F,1,3,2,0.3700980392156863,0.9781372549019608,0.5960882352941176,-0.791225942252617,0.6115239229224466,0.6216297484213691,0.9781372549019608
F,1,3,3,0.3634607843137255,0.9806470588235294,0.5909117647058824,-0.7892098736290042,0.6141235831381915,0.6293663647451663,0.9806470588235294
F,1,3,4,0.3795392156862745,0.9777941176470588,0.6056960784313726,-0.7952794227485922,0.606243053364462,0.6118413796560886,0.9777941176470588
F,1,3,5,0.36933333333333335,0.9818627450980392,0.6014509803921568,-0.7958642585430745,0.6054750878225149,0.6238442336495256,0.9818627450980392
F,1,3,6,0.3714411764705882,0.9812254901960784,0.5956176470588235,-0.788632977184011,0.6148642348501684,0.6214517659989008,0.9812254901960784
F,1,3,7,0.3674509803921569,0.9790196078431372,0.5942549019607843,-0.7907041333570184,0.6121984755715474,0.624674544362107,0.9790196078431372
F,1,3,8,0.36636274509803923,0.982735294117647,0.5973529411764706,-0.7931986817170833,0.6089629309919293,0.6272009896347729,0.982735294117647
F,1,3,9,0.37165686274509807,0.9789607843137256,0.5963823529411765,-0.7901793609603047,0.6128756623593111,0.6203557193502515,0.9789607843137256
F,1,4,0,0.29348474945533765,0.9985762527233116,0.558363834422658,-0.7937778808308295,0.6082077571880496,0.7060968066735538,0.9985762527233116
F,1,4,1,0.30814705882352944,0.9976176470588236,0.5603137254901961,-0.7874126561397433,0.6164262396677759,0.691117073026917,0.9976176470588236
F,1,4,2,0.2922941176470588,0.9983627450980392,0.5562843137254901,-0.7926435563298079,0.6096853226122756,0.7072265375664077,0.9983627450980392
F,1,4,3,0.3031274509803922,0.998450980392157,0.5611078431372549,-0.7908105753526941,0.612060972379665,0.696402270183225,0.998450980392157
F,1,4,4,0.29217647058823526,0.9988039215686274,0.5560588235294118,-0.7923572477039116,0.6100573678032928,0.7074736449478789,0.9988039215686274
F,1,4,5,0.29484313725490197,0.9986666666666667,0.5617549019607844,-0.7960428366823795,0.6052402846528562,0.7047632136966936,0.9986666666666667
F,1,4,6,0.29208823529411765,0.9988039215686274,0.560156862745098,-0.7960967035629654,0.6051694296444426,0.7075619859047095,0.9988039215686274
F,1,4,7,0.28258823529411764,0.9995980392156864,0.5532941176470588,-0.7949750822687679,0.6066420844054307,0.7172981296403456,0.9995980392156864
F,1,4,8,0.28675490196078435,0.998107843137255,0.5585,-0.7978017838117876,0.6029198236471659,0.712701484180852,0.998107843137255
F,1,4,9,0.28934313725490196,0.9987745098039216,0.5578039215686275,-0.7955264757438023,0.6059188282192967,0.7103018404907975,0.9987745098039216
F,1,5,0,0.4080925925925926,0.9880087145969499,0.6326830065359478,-0.8011164857910439,0.5985084595841634,0.5869544604583062,0.9880087145969499
F,1,5,1,0.3912450980392157,0.9846274509803922,0.6177156862745099,-0.7975800150666338,0.6032131626268679,0.6026465668312888,0.9846274509803922
F,1,5,2,0.4021764705882353,0.986843137254902,0.6278235294117647,-0.8002761691267156,0.5996315978397639,0.5924616026545332,0.986843137254902
F,1,5,3,0.4157941176470588,0.9855686274509804,0.6394705882352941,-0.8044192841142548,0.5940619625469299,0.5781175393920102,0.9855686274509804
F,1,5,4,0.3955392156862745,0.9891470588235295,0.6232254901960785,-0.7987805131902254,0.6016225492346179,0.600120920182768,0.9891470588235295
F,1,5,5,0.402078431372549,0.9911764705882353,0.6308235294117648,-0.8017530078568885,0.597655514818053,0.5943422354104847,0.9911764705882353
F,1,5,6,0.42958823529411766,0.9862156862745098,0.645921568627451,-0.8019738638955214,0.5973591228302182,0.5644074199256416,0.9862156862745098
F,1,5,7,0.4016176470588236,0.992313725490196,0.6281862745098039,-0.7987796593678472,0.6016236828617918,0.5952714985772999,0.992313725490196
F,1,5,8,0.41011764705882353,0.9904117647058823,0.6358235294117647,-0.8021619294417641,0.5971065557790052,0.5859119795688068,0.9904117647058823
F,1,5,9,0.4246764705882353,0.9857745098039216,0.6451568627450981,-0.8046521032658523,0.5937465727983953,0.5691951187978,0.9857745098039216
F,1,6,0,0.3587494553376906,0.9660174291938998,0.5806045751633987,-0.7871502396752488,0.6167612991905365,0.628630452726871,0.9660174291938998
F,1,6,1,0.36017647058823526,0.9687843137254901,0.5838529411764706,-0.7885615686028496,0.6149558134716779,0.6282181023316061,0.9687843137254901
F,1,6,2,0.3526372549019608,0.9745686274509805,0.5821176470588235,-0.7895000497562445,0.6137504960771009,0.6381606744059715,0.9745686274509805
F,1,6,3,0.33103921568627453,0.9770588235294118,0.5731078431372549,-0.7931670684674965,0.6090041063069097,0.6611880393337347,0.9770588235294118
F,1,6,4,0.3717450980392157,0.9617450980392157,0.5870980392156863,-0.7869382430795152,0.6170317670743751,0.6134681644885728,0.9617450980392157
F,1,6,5,0.3663725490196078,0.9663137254901961,0.5855392156862745,-0.7871376101883303,0.6167774174100444,0.6208554847611705,0.9663137254901961
F,1,6,6,0.34662745098039216,0.9704117647058824,0.5731078431372549,-0.785689467543073,0.6186210961419618,0.6428037420945223,0.9704117647058824
F,1,6,7,0.3719411764705882,0.9556274509803921,0.5834705882352941,-0.7852537680453242,0.6191740625790296,0.6107885179637647,0.9556274509803921
F,1,6,8,0.36936274509803924,0.957529411764706,0.5785882352941176,-0.7809047697704307,0.6246500944927413,0.6142544129090388,0.957529411764706
F,1,6,9,0.35884313725490197,0.9621176470588235,0.5785588235294118,-0.7864211535166338,0.6176906744492482,0.6270277981576589,0.9621176470588235
F,1,7,0,0.38857625272331153,0.9795718954248366,0.5977505446623094,-0.7797328870311656,0.6261123101185949,0.6033203335679741,0.9795718954248366
F,1,7,1,0.3765392156862745,0.9817254901960785,0.5974803921568628,-0.7869864677964518,0.6169702582015315,0.6164516257889271,0.9817254901960785
F,1,7,2,0.38100980392156863,0.9820098039215686,0.596078431372549,-0.7822938174741733,0.6229096107315129,0.6120101831977238,0.9820098039215686
F,1,7,3,0.3855686274509804,0.9817450980392157,0.5972843137254902,-0.780510616450766,0.6251425258352252,0.6072619784697117,0.9817450980392157
F,1,7,4,0.3847843137254902,0.977421568627451,0.5985588235294117,-0.7841598135999316,0.6205589309122225,0.6063271713291272,0.977421568627451
F,1,7,5,0.38036274509803925,0.9818921568627451,0.5933529411764706,-0.7798283942652187,0.6259933510012153,0.6126226872884486,0.9818921568627451
F,1,7,6,0.39072549019607844,0.9811960784313726,0.5970392156862745,-0.7767540825728088,0.6298040133299201,0.6017865350412661,0.9811960784313726
F,1,7,7,0.40768627450980394,0.9726568627450981,0.6008235294117648,-0.7717491147750656,0.6359271214879127,0.5808529296146597,0.9726568627450981
F,1,7,8,0.39403921568627454,0.9785490196078431,0.5987745098039216,-0.7773227902816722,0.6291019628873491,0.5973229671782951,0.9785490196078431
F,1,7,9,0.39647058823529413,0.9789509803921569,0.6003627450980392,-0.7771731367004564,0.6292868309373507,0.595004656845563,0.9789509803921569
F,1,8,0,0.4763899782135076,0.9683398692810458,0.6458910675381263,-0.773541318731013,0.6337458703738317,0.5080343241808185,0.9683398692810458
F,1,8,1,0.42958823529411766,0.9789509803921569,0.6275490196078432,-0.7839186045304561,0.6208636093950284,0.5611749271429,0.9789509803921569
F,1,8,2,0.4518039215686275,0.9750392156862746,0.6365588235294117,-0.7791854852996739,0.6267934105415528,0.536629999798902,0.9750392156862746
F,1,8,3,0.47056862745098044,0.9701666666666667,0.6467549019607843,-0.778893355029931,0.6271563931669818,0.5149610436856412,0.9701666666666667
F,1,8,4,0.4707352941176471,0.9701960784313726,0.6473137254901961,-0.7794723296473295,0.6264366586608457,0.514803961196443,0.9701960784313726
F,1,8,5,0.4792058823529412,0.9682058823529412,0.6483921568627451,-0.774492594724671,0.6325829753610561,0.5050578693155928,0.9682058823529412
F,1,8,6,0.4874607843137255,0.9662745098039216,0.6473333333333333,-0.7664210343728944,0.6423385385221585,0.49552556818181814,0.9662745098039216
F,1,8,7,0.4883137254901961,0.964921568627451,0.6501274509803922,-0.7701868981939654,0.6378182671030663,0.4939342829855114,0.964921568627451
F,1,8,8,0.4991470588235294,0.9605980392156863,0.6543333333333333,-0.7680381327236101,0.6404041120124311,0.4803788489605128,0.9605980392156863
F,1,8,9,0.5106862745098039,0.9607058823529413,0.654656862745098,-0.7569407916138499,0.6534834642062477,0.4684259939586906,0.9607058823529413
U,2,0,0,0.869359477124183,0.9015838779956428,0.3843812636165577,0.44247165855230297,0.896782488331465,0.5736600076843706,0.9015838779956428
U,2,0,1,0.8703529411764706,0.8982450980392157,0.38335294117647056,0.450094508992268,0.8929809253142025,0.5732201132928041,0.8982450980392157
U,2,0,2,0.8700686274509805,0.8985784313725491,0.3794019607843137,0.4493999084051178,0.8933306903523867,0.5777753532267743,0.8985784313725491
U,2,0,3,0.8658921568627451,0.9009509803921569,0.3775392156862745,0.4380749438755862,0.898938453704369,0.5809547645733811,0.9009509803921569
U,2,0,4,0.8724803921568628,0.9006372549019608,0.38557843137254905,0.4496302469379397,0.8932147787842112,0.5718826538943015,0.9006372549019608
U,2,0,5,0.8685588235294118,0.9023627450980392,0.38142156862745097,0.4400425245092999,0.8979769354629784,0.5773079388533372,0.9023627450980392
U,2,0,6,0.8622254901960784,0.9058725490196079,0.3820686274509804,0.42262418299203774,0.9063050258882561,0.5782313661403261,0.9058725490196079
U,2,0,7,0.8745490196078431,0.9018823529411766,0.3911764705882353,0.4507024032869552,0.8926742651557525,0.5662666318810332,0.9018823529411766
U,2,0,8,0.8725,0.9025000000000001,0.39095098039215687,0.4459053230855301,0.8950801320797982,0.5668133181250339,0.9025000000000001
U,2,0,9,0.8676078431372549,0.9032254901960785,0.38794117647058823,0.43605840262339546,0.8999183682432161,0.5704935470915782,0.9032254901960785
U,2,1,0,0.8518856209150326,0.9153333333333333,0.3788257080610022,0.38919411442354385,0.9211557638630252,0.5861336037206821,0.9153333333333333
U,2,1,1,0.849421568627451,0.9067745098039215,0.3795588235294118,0.3983156652070921,0.9172484019340844,0.5814187326334453,0.9067745098039215
U,2,1,2,0.8477352941176471,0.9084411764705882,0.38004901960784315,0.3924450613987664,0.9197754474781975,0.5816470791379328,0.9084411764705882
U,2,1,3,0.8523235294117647,0.9078529411764705,0.3846764705882353,0.4008553557946716,0.9161413557583389,0.5762788738782518,0.9078529411764705
U,2,1,4,0.851156862745098,0.9180196078431373,0.37127450980392157,0.38530149570752026,0.9227907441048311,0.5955701745018048,0.9180196078431373
U,2,1,5,0.8511176470588235,0.9214019607843138,0.3753529411764706,0.3790870257538139,0.9253610251707856,0.5926284540821212,0.9214019607843138
U,2,1,6,0.849843137254902,0.9247647058823529,0.3760294117647059,0.37149586100896453,0.9284346101116697,0.5933782838241842,0.9247647058823529
U,2,1,7,0.8545980392156863,0.9137647058823529,0.38010784313725493,0.39631135994133804,0.918116172377683,0.5840199991416677,0.9137647058823529
U,2,1,8,0.8555588235294118,0.9181764705882353,0.37926470588235295,0.3911878998107101,0.9203108317528843,0.5869370235120763,0.9181764705882353
U,2,1,9,0.8552156862745098,0.9188039215686276,0.38311764705882356,0.3887661150580305,0.9213364791338103,0.5830256727629698,0.9188039215686276
U,2,2,0,0.8754270152505447,0.9156023965141613,0.3969869281045752,0.4281782619567968,0.9036942934353722,0.5664199551945633,0.9156023965141613
U,2,2,1,0.8768823529411766,0.9051862745098039,0.3952058823529412,0.44885115089091987,0.8936065377692224,0.5633982822298519,0.9051862745098039
U,2,2,2,0.8791862745098039,0.9069509803921569,0.39714705882352946,0.44982267748906357,0.8931178862930526,0.5621074706244797,0.9069509803921569
U,2,2,3,0.8810294117647058,0.9062058823529412,0.39985294117647063,0.45425062718375186,0.8908739347983912,0.5587614812891499,0.9062058823529412
U,2,2,4,0.8646078431372549,0.925,0.384843137254902,0.39541259468283946,0.918503609119847,0.5839533651298358,0.925
U,2,2,5,0.8694117647058824,0.9259411764705883,0.3874117647058824,0.40197657950428406,0.9156499492328037,0.5816021853757704,0.9259411764705883
U,2,2,6,0.8768137254901961,0.9243627450980393,0.39199019607843133,0.4169326120274183,0.9089373999500704,0.5759346661717135,0.9243627450980393
U,2,2,7,0.8741470588235294,0.9141078431372549,0.40362745098039216,0.4274076529287556,0.9040590125749162,0.558446572786066,0.9141078431372549
U,2,2,8,0.8749019607843137,0.9158725490196079,0.4057450980392157,0.42548134919888786,0.9049671935953778,0.5569851957310611,0.9158725490196079
U,2,2,9,0.8818627450980392,0.9167941176470589,0.40705882352941175,0.4366179710615397,0.899647012636681,0.5559975618363223,0.9167941176470589
U,2,3,0,0.882,0.9075522875816994,0.4261535947712418,0.45111500821467276,0.8924658253196454,0.5304363168905806,0.9075522875816994
U,2,3,1,0.8856274509803922,0.8978627450980393,0.43929411764705883,0.4756105545259417,0.8796559557142362,0.5107335502609683,0.8978627450980393
U,2,3,2,0.8820882352941176,0.9010784313725491,0.432843137254902,0.4627790885989625,0.8864736404177587,0.5196387770645197,0.9010784313725491
U,2,3,3,0.8817843137254903,0.9030392156862745,0.42733333333333334,0.4589465969871458,0.8884638547031153,0.5267831940071653,0.9030392156862745
U,2,3,4,0.8840392156862745,0.9004117647058825,0.43857843137254904,0.46751218040885645,0.8839866295195629,0.5129134818492629,0.9004117647058825
U,2,3,5,0.8823529411764706,0.903578431372549,0.43190196078431375,0.45864945777484983,0.8886172825704192,0.5220094395920359,0.903578431372549
U,2,3,6,0.8811470588235294,0.9048039215686274,0.42668627450980395,0.454476400861368,0.8907587782672126,0.5284212807454761,0.9048039215686274
U,2,3,7,0.8826078431372549,0.9148921568627452,0.4158823529411765,0.44022432544232903,0.8978878233325399,0.5454301910650564,0.9148921568627452
U,2,3,8,0.8801764705882352,0.9227941176470589,0.41483333333333333,0.42208086454853816,0.9065581855468289,0.5504594953519256,0.9227941176470589
U,2,3,9,0.8781764705882353,0.9195098039215686,0.40802941176470586,0.4250105197880799,0.9051884102602431,0.5562533319117177,0.9195098039215686
U,2,4,0,0.8713594771241829,0.9282832244008714,0.3906535947712418,0.40110464474236013,0.9160322395888176,0.5791655127416789,0.9282832244008714
U,2,4,1,0.8714313725490196,0.9130392156862746,0.39507843137254905,0.42546648278394616,0.9049741830723449,0.5672930312466444,0.9130392156862746
U,2,4,2,0.865343137254902,0.9138823529411765,0.40012745098039215,0.41201124090552566,0.9111787625748796,0.5621674390662548,0.9138823529411765
U,2,4,3,0.8666764705882353,0.9130196078431372,0.40297058823529414,0.4154616190760388,0.909610709630618,0.5586397216733958,0.9130196078431372
U,2,4,4,0.877235294117647,0.9205392156862745,0.39366666666666666,0.4237025968649409,0.9058013631088802,0.5723520954257415,0.9205392156862745
U,2,4,5,0.8718823529411766,0.9188627450980392,0.40156862745098043,0.41550035405303876,0.9095930165638914,0.5629721309376466,0.9188627450980392
U,2,4,6,0.872578431372549,0.9199607843137255,0.4017745098039216,0.4149103269665618,0.9098623085810845,0.5632699603563665,0.9199607843137255
U,2,4,7,0.8725686274509804,0.952,0.3756372549019608,0.37025113338211624,0.9289316972895576,0.6054230515735705,0.952
U,2,4,8,0.8729607843137256,0.9508823529411764,0.37242156862745096,0.3732743804182357,0.927720990882163,0.6083410660892876,0.9508823529411764
U,2,4,9,0.8715588235294117,0.9523627450980392,0.3726372549019608,0.3687251506561321,0.9295384678826437,0.6087234020650395,0.9523627450980392
U,2,5,0,0.8979640522875817,0.9174749455337691,0.4645174291938998,0.4604404618146782,0.8876905886196417,0.49370014793847844,0.9174749455337691
U,2,5,1,0.902843137254902,0.9026078431372548,0.46868627450980394,0.5004914195933494,0.8657414965874247,0.4808774025409925,0.902843137254902
U,2,5,2,0.9020686274509804,0.9038823529411765,0.47472549019607846,0.4961623282400638,0.8682297760589642,0.4747928326608529,0.9038823529411765
U,2,5,3,0.9045980392156864,0.903578431372549,0.4883725490196078,0.5022199415516,0.8647399206165444,0.4601220344861222,0.9045980392156864
U,2,5,4,0.9011176470588235,0.9100196078431373,0.4661078431372549,0.48170462738268277,0.8763336419184823,0.4878046152851695,0.9100196078431373
U,2,5,5,0.8999117647058823,0.9097156862745098,0.47565686274509805,0.4793782561933154,0.8776083907353303,0.4771367912836374,0.9097156862745098
U,2,5,6,0.9012058823529412,0.908235294117647,0.4860392156862745,0.4848252169488826,0.8746110615642069,0.46485319516407597,0.908235294117647
U,2,5,7,0.8899901960784313,0.9389705882352941,0.43121568627450985,0.41011599760729534,0.9120333702812485,0.5407569825110937,0.9389705882352941
U,2,5,8,0.8894607843137254,0.9405490196078431,0.43720588235294117,0.4053032271103285,0.9141823090029436,0.535158855903936,0.9405490196078431
U,2,5,9,0.8904803921568627,0.9397156862745097,0.4526470588235294,0.40569847671991094,0.9140069726140736,0.5183148845604114,0.9397156862745097
U,2,6,0,0.8778932461873639,0.9174270152505447,0.4228355119825708,0.4258435674877272,0.9047968037240879,0.5391071933203356,0.9174270152505447
U,2,6,1,0.8807254901960785,0.9265,0.4165,0.416515063670582,0.9091288147097148,0.5504587155963303,0.9265
U,2,6,2,0.880078431372549,0.9327843137254902,0.41092156862745094,0.4057838932032442,0.9139690541899206,0.5594677541410915,0.9327843137254902
U,2,6,3,0.8808627450980392,0.9344019607843138,0.4056764705882353,0.40553003900837814,0.9140817181531765,0.5658437293435038,0.9344019607843138
U,2,6,4,0.881264705882353,0.9004803921568627,0.4415392156862745,0.46156009734194986,0.887108942882265,0.5096625983951921,0.9004803921568627
U,2,6,5,0.8820392156862745,0.9015196078431373,0.44208823529411767,0.46106628645959297,0.8873656965932144,0.509618835299875,0.9015196078431373
U,2,6,6,0.8829019607843138,0.9018333333333334,0.4399901960784314,0.46237618725521723,0.886683856546023,0.5121158424559993,0.9018333333333334
U,2,6,7,0.8698431372549019,0.9157156862745098,0.421578431372549,0.41358093488579256,0.9104673581732592,0.5396186417995139,0.9157156862745098
U,2,6,8,0.8725196078431373,0.9196470588235294,0.4157549019607843,0.41291986203308434,0.9107673619199245,0.5479190652850624,0.9196470588235294
U,2,6,9,0.8708039215686275,0.9239607843137255,0.4114705882352941,0.40317220136303794,0.9151241314969691,0.554666610075973,0.9239607843137255
U,2,7,0,0.8645501089324619,0.9286132897603485,0.43777668845315904,0.37733815980316593,0.9260755439791942,0.5285694343593359,0.9286132897603485
U,2,7,1,0.8651862745098039,0.9423137254901961,0.42504901960784314,0.35924146573351035,0.9332446460053436,0.5489304590286737,0.9423137254901961
U,2,7,2,0.8647843137254903,0.9428529411764707,0.4241960784313726,0.3578587745224844,0.9337757211971544,0.5500930633974899,0.9428529411764707
U,2,7,3,0.8635980392156862,0.9419313725490196,0.4232156862745098,0.3573764124885942,0.9339604380254991,0.5506937144165618,0.9419313725490196
U,2,7,4,0.8690490196078432,0.9045294117647059,0.4585686274509804,0.426196687206818,0.9046305233706929,0.49303071687151806,0.9045294117647059
U,2,7,5,0.868078431372549,0.9046274509803922,0.45809803921568626,0.42402431091473575,0.9056508067424682,0.4936058609328941,0.9046274509803922
U,2,7,6,0.8692156862745098,0.9043529411764707,0.45683333333333337,0.4271853271315208,0.9041640870348344,0.49485061359004384,0.9043529411764707
U,2,7,7,0.8599117647058824,0.9383627450980392,0.4332352941176471,0.353171856832975,0.9355584639888352,0.538307230992655,0.9383627450980392
U,2,7,8,0.8611274509803922,0.9391176470588235,0.42914705882352944,0.35550101649776517,0.9346758942377061,0.5430316316943313,0.9391176470588235
U,2,7,9,0.8600000000000001,0.9394313725490196,0.43164705882352944,0.3520761902356093,0.9359713437222205,0.5405230531610695,0.9394313725490196
U,2,8,0,0.8817407407407408,0.9291339869281046,0.4761154684095861,0.40231540188593096,0.9155011291120082,0.48757071088991666,0.9291339869281046
U,2,8,1,0.8743235294117647,0.9481960784313725,0.42686274509803923,0.36646946706295325,0.9304300778191744,0.5498159559948715,0.9481960784313725
U,2,8,2,0.8759607843137255,0.945921568627451,0.438,0.37032462738789274,0.9289024008742891,0.5369594958749637,0.945921568627451
U,2,8,3,0.8812941176470589,0.9426666666666667,0.44973529411764707,0.3831620335838501,0.9236811441292329,0.5229116399034861,0.9426666666666667
U,2,8,4,0.8898431372549019,0.9025588235294117,0.4944117647058824,0.4714847775780637,0.881874199935662,0.4522110339883338,0.9025588235294117
U,2,8,5,0.892078431372549,0.9027745098039216,0.5087843137254903,0.4751806846350976,0.879888241170275,0.4364214893085585,0.9027745098039216
U,2,8,6,0.8957058823529411,0.9021764705882354,0.5318235294117647,0.48407238368728384,0.8750279580398052,0.41051053009063054,0.9021764705882354
U,2,8,7,0.8737549019607843,0.9401470588235294,0.4653333333333333,0.3682922145464043,0.9297100863734379,0.5050419729912926,0.9401470588235294
U,2,8,8,0.8756176470588235,0.9400196078431373,0.4767941176470588,0.36906939891863594,0.9294018392395383,0.4927827955194928,0.9400196078431373
U,2,8,9,0.8770882352941176,0.9377450980392157,0.4932941176470588,0.3715532788825463,0.9284116333564701,0.4739571353894407,0.9377450980392157
